timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2025-02-12 16:00:00,,,,,,5.097,5.3248,5.0149,5.2872,161356.6348228,,,,,
2025-02-12 20:00:00,,,,,,5.2808,5.3183,5.1907,5.2251,118172.50713321,,,,,
2025-02-13 00:00:00,5.227,5.2753,5.0671,5.1318,391197.40361812,5.227,5.2753,5.1868,5.2108,58635.01923176,,,,,
2025-02-13 04:00:00,,,,,,5.2108,5.2146,5.068,5.1405,51022.2373898,,,,,
2025-02-13 08:00:00,,,,,,5.1444,5.1871,5.0897,5.1582,20854.12286459,,,,,
2025-02-13 12:00:00,,,,,,5.1497,5.2027,5.0671,5.1593,73263.16690343,,,,,
2025-02-13 16:00:00,,,,,,5.1616,5.2105,5.0873,5.1446,160330.80661103,,,,,
2025-02-13 20:00:00,,,,,,5.1494,5.1873,5.1145,5.1318,27092.05061751,,,,,
2025-02-14 00:00:00,5.1323,5.3737,5.1061,5.1721,237016.25271631,5.1323,5.2489,5.1061,5.2349,22563.42070078,,,,,
2025-02-14 04:00:00,,,,,,5.2342,5.2442,5.1393,5.175,32934.94184371,,,,,
2025-02-14 08:00:00,,,,,,5.1822,5.2943,5.1822,5.2248,50338.32273325,,,,,
2025-02-14 12:00:00,,,,,,5.216,5.273,5.1611,5.2349,32696.41739693,,,,,
2025-02-14 16:00:00,,,,,,5.2175,5.3737,5.1924,5.2885,62310.85334499,,,,,
2025-02-14 20:00:00,,,,,,5.2971,5.3063,5.1323,5.1721,36172.29669665,,,,,
2025-02-15 00:00:00,5.17,5.2167,4.9816,5.0221,116776.41252502,5.17,5.2167,5.1157,5.1938,17059.3135944,,,,,
2025-02-15 04:00:00,,,,,,5.1851,5.2015,5.1007,5.1103,13616.83079277,,,,,
2025-02-15 08:00:00,,,,,,5.108,5.1265,5.0379,5.0617,22175.91638329,,,,,
2025-02-15 12:00:00,,,,,,5.0619,5.1091,5.0018,5.0426,26791.91083635,,,,,
2025-02-15 16:00:00,,,,,,5.047,5.1255,5.0136,5.0595,16041.07499023,,,,,
2025-02-15 20:00:00,,,,,,5.0616,5.0623,4.9816,5.0221,21091.36592798,,,,,
2025-02-16 00:00:00,5.0221,5.0411,4.8318,4.8816,176173.93453549,5.0221,5.0411,4.9433,4.9708,18885.10255998,,,,,
2025-02-16 04:00:00,,,,,,4.9719,5.0108,4.889,4.9055,23211.47383418,,,,,
